index	red ir
900	23472	26873
901	23482	26834
902	23490	26894
903	23467	26909
904	23490	26867
905	23510	26840
906	23480	26911
907	23455	26912
908	23501	26880
909	23505	26927
910	23484	26944
911	23527	26912
912	23541	26951
913	23499	26987
914	23533	26960
915	23539	26960
916	23520	27005
917	23525	26979
918	23572	26971
919	23530	27031
920	23526	27017
921	23551	26984
922	23555	27027
923	23520	27033
924	23564	26992
925	23592	27013
926	23537	27053
927	23528	27025
928	23551	26987
929	23552	27039
930	23528	27074
931	23558	27011
932	23582	27010
933	23546	27061
934	23524	27078
935	23576	27040
936	23563	27050
937	23553	27089
938	23540	27053
939	23591	27032
940	23577	27086
941	23554	27104
942	23575	27062
943	23588	27055
944	23580	27062
945	23579	27116
946	23547	27119
947	23612	27069
948	23607	27141
949	23564	27152
950	23625	27122
951	23618	27163
952	23591	27186
953	23619	27137
954	23644	27146
955	23613	27168
956	23589	27203
957	23629	27165
958	23624	27194
959	23616	27229
960	23615	27190
961	23665	27171
962	23626	27243
963	23607	27205
964	23641	27196
965	23650	27185
966	23649	27243
967	23617	27248
968	23665	27194
969	23669	27265
970	23612	27284
971	23681	27247
972	23668	27273
973	23647	27313
974	23674	27261
975	23698	27262
976	23660	27315
977	23656	27274
978	23681	27270
979	23657	27273
980	23693	27255
981	23678	27311
982	23649	27340
983	23688	27281
984	23700	27329
985	23666	27368
986	23706	27316
987	23670	27317
988	23672	27379
989	23687	27340
990	23736	27327
991	23687	27386
992	23662	27359
993	23699	27328
994	23701	27405
995	23677	27415
996	23727	27369
997	23748	27391
998	23694	27445
999	23705	27409
1000	23714	27380
1001	23712	27470
1002	23696	27428
1003	23746	27413
1004	23720	27464
1005	23694	27471
1006	23733	27459
1007	23737	27480
1008	23719	27519
1009	23730	27479
1010	23775	27455
1011	23753	27512
1012	23724	27535
1013	23765	27497
1014	23763	27487
1015	23776	27533
1016	23750	27571
1017	23758	27515
1018	23798	27503
1019	23759	27553
1020	23733	27552
1021	23754	27510
1022	23774	27500
1023	23768	27563
1024	23747	27558
1025	23760	27529
1026	23804	27510
1027	23777	27578
1028	23752	27543
1029	23779	27532
1030	23781	27517
1031	23755	27559
1032	23742	27517
1033	23791	27478
1034	23746	27518
1035	23724	27497
1036	23739	27433
1037	23727	27440
1038	23695	27437
1039	23720	27400
1040	23705	27342
1041	23727	27311
1042	23661	27339
1043	23653	27287
1044	23663	27236
1045	23669	27295
1046	23629	27301
1047	23660	27240
1048	23685	27231
1049	23640	27277
1050	23632	27220
1051	23649	27205
1052	23627	27267
1053	23617	27220
1054	23665	27217
1055	23617	27222
1056	23675	27188
1057	23636	27251
1058	23610	27256
1059	23646	27214
1060	23642	27221
1061	23619	27250
1062	23643	27195
1063	23674	27199
1064	23608	27223
1065	23617	27178
1066	23637	27158
1067	23605	27197
1068	23587	27197
1069	23647	27149
1070	23629	27195
1071	23599	27205
1072	23624	27166
1073	23621	27182
1074	23598	27222
1075	23642	27183
1076	23671	27192
1077	23641	27231
