"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)","Data Set 5:Time(s)","Data Set 5:Force(N)","Data Set 5:Respiration Rate(bpm)"
,,,,,,,,,151.30000000000001,18.368183135986328,,151.30000000000001,4.162384033203125,
,,,,,,,,,151.40000000000001,17.624675750732422,,151.40000000000001,4.4434356689453125,
,,,,,,,,,151.5,16.934825897216797,,151.5,4.612060546875,
,,,,,,,,,151.59999999999999,16.22198486328125,,151.59999999999999,4.6452789306640625,
,,,,,,,,,151.69999999999999,15.496360778808594,,151.69999999999999,4.5814056396484375,
,,,,,,,,,151.80000000000001,14.714530944824219,,151.80000000000001,4.4459915161132812,
,,,,,,,,,151.90000000000001,13.932701110839844,,151.90000000000001,4.2415847778320312,
,,,,,,,,,152,13.209640502929688,,152,3.986083984375,
,,,,,,,,,152.09999999999999,12.491683959960938,,152.09999999999999,3.7178115844726562,
,,,,,,,,,152.19999999999999,11.881034851074219,,152.19999999999999,3.4674224853515625,
,,,,,,,,,152.30000000000001,11.36492919921875,,152.30000000000001,3.2272491455078125,
,,,,,,,,,152.40000000000001,10.81304931640625,,152.40000000000001,2.928314208984375,
,,,,,,,,,152.5,10.22283935546875,,152.5,2.598724365234375,
,,,,,,,,,152.59999999999999,9.624969482421875,,152.59999999999999,2.3355560302734375,
,,,,,,,,,152.69999999999999,9.0424346923828125,,152.69999999999999,2.0774993896484375,
,,,,,,,,,152.80000000000001,8.5518722534179688,,152.80000000000001,1.8501052856445312,
,,,,,,,,,152.90000000000001,8.209503173828125,,152.90000000000001,1.7351303100585938,
,,,,,,,,,153,7.8185882568359375,,153,1.6661453247070312,
,,,,,,,,,153.09999999999999,7.3459091186523438,,153.09999999999999,1.640594482421875,
,,,,,,,,,153.19999999999999,7.0571975708007812,,153.19999999999999,1.6635894775390625,
,,,,,,,,,153.30000000000001,6.8987884521484375,,153.30000000000001,1.6329345703125,
,,,,,,,,,153.40000000000001,6.7301559448242188,,153.40000000000001,1.512847900390625,
,,,,,,,,,153.5,6.6202926635742188,,153.5,1.3902053833007812,
,,,,,,,,,153.59999999999999,6.535980224609375,,153.59999999999999,1.3033370971679688,
,,,,,,,,,153.69999999999999,6.4491043090820312,,153.69999999999999,1.2292404174804688,
